Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
JMPB,JMP Group LLC,25.6,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpb
JMPC,JMP Group LLC,25.68,n/a,2014,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpc
JBT,John Bean Technologies Corporation,90.4,$2.86B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/jbt
BTO,John Hancock Financial Opportunities Fund,35.84,$667.47M,1994,n/a,n/a,http://www.nasdaq.com/symbol/bto
HEQ,John Hancock Hedged Equity & Income Fund,16.99,$207.36M,2011,n/a,n/a,http://www.nasdaq.com/symbol/heq
JHS,John Hancock Income Securities Trust,14.66,$170.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhs
JHI,John Hancock Investors Trust,17.56,$152.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhi
HPF,John Hancock Pfd Income Fund II,21.74,$462.16M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpf
HPI,John Hancock Preferred Income Fund,21.87,$568.5M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpi
HPS,John Hancock Preferred Income Fund III,18.82,$594.28M,2003,n/a,n/a,http://www.nasdaq.com/symbol/hps
PDT,John Hancock Premium Dividend Fund,16.39,$791.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdt
HTD,John Hancock Tax Advantaged Dividend Income Fund,25.12,$888.87M,2004,n/a,n/a,http://www.nasdaq.com/symbol/htd
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,10.1,$110.53M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hty
JW.A,John Wiley & Sons Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.a
JW.B,John Wiley & Sons Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.b
JNJ,Johnson & Johnson,131.53,$354.32B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj
JCI,Johnson Controls International plc,42.07,$39.47B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci
JONE,Jones Energy Inc.,1.9,$181.18M,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/jone
JLL,Jones Lang LaSalle Incorporated,120.43,$5.45B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/jll
JFC,JPMorgan China Region Fund Inc.,19.84,$127.92M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jfc
JMEI,Jumei International Holding Limited,2.55,$381.75M,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jmei
JNPR,Juniper Networks Inc.,28.61,$10.93B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr
JP,Jupai Holdings Limited,8,$258.29M,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jp
JE,Just Energy Group Inc.,5.12,$752.71M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/je
JE^A,Just Energy Group Inc.,25.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/je^a
LRN,K12 Inc,18.95,$768.72M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lrn
KAI,Kadant Inc,80.45,$885M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kai
KDMN,Kadmon Holdings Inc.,2.72,$141.02M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kdmn
KAMN,Kaman Corporation,52.17,$1.42B,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/kamn
KSU,Kansas City Southern,99.59,$10.56B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu
KSU^,Kansas City Southern,29,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu^
KS,KapStone Paper and Packaging Corporation,21.46,$2.08B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ks
KAR,KAR Auction Services Inc,43.67,$5.99B,2009,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kar
KATE,Kate Spade & Company,18.47,$2.38B,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kate
KED,Kayne Anderson Energy Development Company,17.73,$189.46M,2006,n/a,n/a,http://www.nasdaq.com/symbol/ked
KYE,Kayne Anderson Energy Total Return Fund Inc.,10.65,$389.34M,2005,n/a,n/a,http://www.nasdaq.com/symbol/kye
KMF,Kayne Anderson Midstream Energy Fund Inc,14.7,$323.9M,2010,n/a,n/a,http://www.nasdaq.com/symbol/kmf
KYN,Kayne Anderson MLP Investment Company,18.66,$2.12B,2004,n/a,n/a,http://www.nasdaq.com/symbol/kyn
KYN^F,Kayne Anderson MLP Investment Company,25.4093,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kyn^f
KB,KB Financial Group Inc,49.63,$19.68B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/kb
KBH,KB Home,21.44,$1.83B,1986,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/kbh
KBR,KBR Inc.,15.06,$2.16B,2006,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/kbr
KAP,KCAP Financial Inc.,25.71,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kap
KCG,KCG Holdings Inc.,19.93,$1.36B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/kcg
FRAC,Keane Group Inc.,15.32,$1.58B,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/frac
K,Kellogg Company,72.66,$25.45B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/k
KEM,Kemet Corporation,13.38,$635.63M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/kem
KMPA,Kemper Corporation,26.8662,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpa
KMPR,Kemper Corporation,41.6,$2.13B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpr
KMT,Kennametal Inc.,41.91,$3.38B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kmt
KW,Kennedy-Wilson Holdings Inc.,19.6,$2.24B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/kw
KWN,Kennedy-Wilson Holdings Inc.,25.75,n/a,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/kwn
KEN,Kenon Holdings Ltd.,13.4,$719.84M,2015,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/ken
KEG,Key Energy Services Inc.,17.95,$360.73M,2016,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/keg
KEY,KeyCorp,18.62,$20.41B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key
KEY^I,KeyCorp,28.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/key^i
KEYS,Keysight Technologies Inc.,37.64,$6.95B,2014,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/keys
KRC,Kilroy Realty Corporation,75.52,$7.42B,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc
KRC^H,Kilroy Realty Corporation,25.33,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krc^h
KRP,Kimbell Royalty Partners,19.1,$311.95M,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/krp
KMB,Kimberly-Clark Corporation,128.77,$45.7B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb
KIM,Kimco Realty Corporation,18.55,$7.9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kim
KIM^I,Kimco Realty Corporation,25.2955,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^i
KIM^J,Kimco Realty Corporation,25.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^j
KIM^K,Kimco Realty Corporation,25.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^k
KMI,Kinder Morgan Inc.,19.08,$42.6B,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmi
KMI^A,Kinder Morgan Inc.,43.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi^a
KND,Kindred Healthcare Inc.,10.45,$894.87M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd
KFS,Kingsway Financial Services Inc.,6.1,$142.81M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kfs
KGC,Kinross Gold Corporation,4.33,$5.4B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kgc
KEX,Kirby Corporation,68.45,$3.7B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex
KRG,Kite Realty Group Trust,18.86,$1.58B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krg
KKR,KKR & Co. L.P.,18.96,$8.76B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr
KKR^A,KKR & Co. L.P.,26.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^a
KKR^B,KKR & Co. L.P.,26.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^b
KFN^,KKR Financial Holdings LLC,26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfn^
KIO,KKR Income Opportunities Fund,17.65,$269.25M,2013,n/a,n/a,http://www.nasdaq.com/symbol/kio
KREF,KKR Real Estate Finance Trust Inc.,21.76,$1.17B,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kref
KMG,KMG Chemicals Inc.,53.13,$631.58M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kmg
KNX,Knight Transportation Inc.,35.25,$2.83B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/knx
KNL,Knoll Inc.,21.24,$1.05B,2004,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/knl
KNOP,KNOT Offshore Partners LP,21.7,$644.36M,2013,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/knop
KN,Knowles Corporation,18.6,$1.66B,2014,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/kn
KSS,Kohl&#39;s Corporation,37.87,$6.46B,1992,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss
PHG,Koninklijke Philips N.V.,35.85,$32.99B,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg
KOP,Koppers Holdings Inc.,36.4,$757.35M,2006,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/kop
KEP,Korea Electric Power Corporation,19.51,$25.05B,1994,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/kep
KEF,Korea Equity Fund Inc.,9.55,$93.02M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kef
KF,Korea Fund Inc. (The),40.11,$236.02M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kf
KFY,Korn/Ferry International,33.6,$1.92B,1999,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/kfy
KOS,Kosmos Energy Ltd.,6.15,$2.38B,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kos
KRA,Kraton Corporation,32.22,$1B,2009,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kra
KR,Kroger Company (The),30.78,$28.09B,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr
KRO,Kronos Worldwide Inc,18.34,$2.13B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kro
KT,KT Corporation,16.17,$7.92B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/kt
KYO,Kyocera Corporation,57.95,$21.31B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo
LB,L Brands Inc.,52.3,$15B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb
SCX,L.S. Starrett Company (The),8.9,$62.82M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/scx
LLL,L3 Technologies Inc.,166.29,$12.95B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll
LQ,La Quinta Holdings Inc.,14.29,$1.68B,2014,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lq
LH,Laboratory Corporation of America Holdings,140.61,$14.38B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh
LADR,Ladder Capital Corp,14.23,$1.58B,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ladr
LW,Lamb Weston Holdings Inc.,46.03,$6.72B,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lw
LDR,Landauer Inc.,53.8,$518.62M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ldr
LCI,Lannett Co Inc,19.35,$720.41M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci
LPI,Laredo Petroleum Inc.,11.89,$2.88B,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
LVS,Las Vegas Sands Corp.,63.69,$50.46B,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs
LHO,LaSalle Hotel Properties,30.56,$3.46B,1998,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho
LHO^I,LaSalle Hotel Properties,25.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^i
LHO^J,LaSalle Hotel Properties,25.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^j
LTM,LATAM Airlines Group S.A.,11.29,$6.85B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/ltm
LDF,Latin American Discovery Fund Inc. (The),10.5376,$71.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldf
LGI,Lazard Global Total Return and Income Fund,16.22,$155.8M,2004,n/a,n/a,http://www.nasdaq.com/symbol/lgi
LAZ,Lazard Ltd.,44.86,$5.5B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/laz
LOR,Lazard World Dividend & Income Fund Inc.,10.97,$75.48M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lor
LZB,La-Z-Boy Incorporated,27.4,$1.34B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/lzb
LCII,LCI Industries ,95.15,$2.37B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lcii
LFGR,Leaf Group Ltd.,8.25,$167.96M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/lfgr
LEA,Lear Corporation,145.63,$10.03B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea
LEE,Lee Enterprises Incorporated,1.8,$101.97M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/lee
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,13.39,$281.05M,2012,n/a,n/a,http://www.nasdaq.com/symbol/bwg
LM,Legg Mason Inc.,38.83,$3.72B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm
LMHA,Legg Mason Inc.,27,n/a,2016,Finance,Investment Managers,http://www.nasdaq.com/symbol/lmha
LMHB,Legg Mason Inc.,24.9,n/a,2016,Finance,Investment Managers,http://www.nasdaq.com/symbol/lmhb
LEG,Leggett & Platt Incorporated,52.17,$6.9B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/leg
JBK,Lehman ABS Corporation,23.9,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jbk
KTH,Lehman ABS Corporation,32.64,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/kth
KTN,Lehman ABS Corporation,33.0738,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ktn
KTP,Lehman ABS Corporation,17.5,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ktp
XKE,Lehman ABS Corporation,7.9,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/xke
LDOS,Leidos Holdings Inc.,55.37,$8.36B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ldos
LEJU,Leju Holdings Limited,2.71,$378.61M,2014,Finance,Real Estate,http://www.nasdaq.com/symbol/leju
LC,LendingClub Corporation,5.78,$2.33B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lc
LEN,Lennar Corporation,52,$12.19B,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len
LEN.B,Lennar Corporation,n/a,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len.b
LII,Lennox International Inc.,178.66,$7.62B,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lii
LUK,Leucadia National Corporation,25.28,$9.1B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/luk
LVLT,Level 3 Communications Inc.,62.36,$22.54B,2011,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lvlt
LXP,Lexington Realty Trust,10.01,$2.41B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lxp
LXP^C,Lexington Realty Trust,50.7645,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lxp^c
LPL,LG Display Co. Ltd.,15.99,$11.44B,2004,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lpl
USA,Liberty All-Star Equity Fund,5.62,$1.06B,1986,n/a,n/a,http://www.nasdaq.com/symbol/usa
ASG,Liberty All-Star Growth Fund Inc.,4.81,$126.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asg
LPT,Liberty Property Trust,41.79,$6.15B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lpt
LSI,Life Storage Inc.,73.96,$3.44B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lsi
LITB,LightInTheBox Holding Co. Ltd.,2.22,$152.98M,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/litb
LNC,Lincoln National Corporation,68.25,$15.31B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/lnc
LNC.WS,Lincoln National Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lnc.ws
LNN,Lindsay Corporation,85.63,$913.07M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lnn
LN,LINE Corporation,36.25,$7.94B,2016,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/ln
LGF.A,Lions Gate Entertainment Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lgf.a
LGF.B,Lions Gate Entertainment Corporation,n/a,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/lgf.b
LAD,Lithia Motors Inc.,93.41,$2.34B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/lad
LYV,Live Nation Entertainment Inc.,35.93,$7.39B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/lyv
LYG,Lloyds Banking Group Plc,3.62,$64.67B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/lyg
SCD,LMP Capital and Income Fund Inc.,14.2299,$255.9M,2004,n/a,n/a,http://www.nasdaq.com/symbol/scd
LMT,Lockheed Martin Corporation,277,$80.18B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmt
L,Loews Corporation,47.47,$15.98B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/l
LPX,Louisiana-Pacific Corporation,23.69,$3.43B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/lpx
LOW,Lowe&#39;s Companies Inc.,78.65,$66.4B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low
LXU,Lsb Industries Inc.,10.61,$301.38M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxu
LKSD,LSC Communications Inc.,21.23,$720.59M,2016,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/lksd
LTC,LTC Properties Inc.,49.12,$1.94B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ltc
LUB,Luby&#39;s Inc.,3.01,$87.57M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/lub
LL,Lumber Liquidators Holdings Inc,26.55,$753.6M,2007,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/ll
LXFR,Luxfer Holdings PLC,13.05,$344.52M,2012,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxfr
LXFT,Luxoft Holding Inc.,62.15,$2.08B,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/lxft
LUX,Luxottica Group S.p.A.,59.61,$28.43B,1990,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/lux
LDL,Lydall Inc.,53.8,$926.9M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ldl
WLH,Lyon William Homes,22.72,$725.58M,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/wlh
LYB,LyondellBasell Industries NV,81.88,$32.98B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lyb
MTB,M&T Bank Corporation,163.36,$25.14B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb
MTB.WS,M&T Bank Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb.ws
MTB^,M&T Bank Corporation,1047.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb^
MTB^C,M&T Bank Corporation,1040.57,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb^c
MDC,M.D.C. Holdings Inc.,33.85,$1.75B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mdc
MHO,M/I Homes Inc.,27.88,$691.28M,1993,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mho
MHO^A,M/I Homes Inc.,25.789,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mho^a
MAC,Macerich Company (The),58.35,$8.27B,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mac
CLI,Mack-Cali Realty Corporation,27.62,$2.48B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cli
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,25.26,$314.95M,2005,n/a,n/a,http://www.nasdaq.com/symbol/mgu
MIC,Macquarie Infrastructure Company,76.25,$6.28B,2004,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mic
MFD,Macquarie/First Trust Global,13.42,$114.65M,2004,n/a,n/a,http://www.nasdaq.com/symbol/mfd
BMA,Macro Bank Inc.,91.6,$5.35B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bma
M,Macy&#39;s Inc,22.7,$6.91B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/m
MCN,Madison Covered Call & Equity Strategy Fund,8.02,$154.53M,2004,n/a,n/a,http://www.nasdaq.com/symbol/mcn
MSP,Madison Strategic Sector Premium Fund,12.09,$70.1M,2005,n/a,n/a,http://www.nasdaq.com/symbol/msp
MMP,Magellan Midstream Partners L.P.,71.89,$16.39B,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mmp
MGA,Magna International Inc.,45.46,$17.29B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mga
MX,MagnaChip Semiconductor Corporation,9.4,$319.19M,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/mx
MH^A,Maiden Holdings Ltd.,25.3758,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mh^a
MH^C,Maiden Holdings Ltd.,25.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mh^c
MHLA,Maiden Holdings Ltd.,25.61,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/mhla
MHNB.CL,Maiden Holdings Ltd.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhnb.cl
MHNC,Maiden Holdings Ltd.,26.62,n/a,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhnc
MAIN,Main Street Capital Corporation,38.6,$2.16B,2007,n/a,n/a,http://www.nasdaq.com/symbol/main
MSCA,Main Street Capital Corporation,26.245,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/msca
MMD,MainStay DefinedTerm Municipal Opportunities Fund,19.81,$545.86M,2012,n/a,n/a,http://www.nasdaq.com/symbol/mmd
MNK,Mallinckrodt plc,40.29,$4B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnk
MZF,Managed Duration Investment Grade Municipal Fund,13.84,$94.12M,2003,n/a,n/a,http://www.nasdaq.com/symbol/mzf
MANU,Manchester United Ltd.,16.65,$2.73B,2012,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/manu
MTW,Manitowoc Company Inc. (The),6.02,$846.04M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/mtw
MN,Manning & Napier Inc.,4.6,$69.25M,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/mn
MAN,ManpowerGroup,104.65,$7.02B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/man
MFC,Manulife Financial Corp,17.9,$35.38B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/mfc
MRO,Marathon Oil Corporation,12.54,$10.66B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,54.71,$28.38B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc
MMI,Marcus & Millichap Inc.,25.77,$981.21M,2013,Finance,Real Estate,http://www.nasdaq.com/symbol/mmi
MCS,Marcus Corporation (The),32.65,$906.7M,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/mcs
MRIN,Marin Software Incorporated,1.3,$51.25M,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/mrin
MPX,Marine Products Corporation,13.99,$489.05M,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mpx
HZO,MarineMax Inc.,19.15,$502.1M,1998,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hzo
MKL,Markel Corporation,992.01,$13.83B,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mkl
VAC,Marriot Vacations Worldwide Corporation,119.73,$3.25B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/vac
MMC,Marsh & McLennan Companies Inc.,78.23,$40.22B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc
MLM,Martin Marietta Materials Inc.,234.82,$14.74B,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm
MAS,Masco Corporation,37.22,$11.89B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas
DOOR,Masonite International Corporation,74.95,$2.24B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/door
